task,method,seed,accuracy,test_error,trainable_params,c_dora_total,c_map_total,mean_s_over_d,attn_var,mlp_var,mlp_attn_ratio
mnli,dora,0,0.8774325012735609,0.12256749872643913,2002947,3911.597116470337,3.5002529621124268,1.0,0.0025355599354952574,0.001986095681786537,0.7832966809355283
mnli,dora,1,0.8731533367294957,0.1268466632705043,2002947,3858.2460622787476,3.53937029838562,0.9999954788773149,0.0027012734208256006,0.0018312977626919746,0.6779386894245856
mnli,dora,2,0.8771268466632705,0.12287315333672955,2002947,3938.715076446533,3.545053005218506,1.0,0.002664650324732065,0.0019213674822822213,0.721058018175581
mnli,lora,0,0.8771268466632705,0.12287315333672955,1920003,3881.9050073623657,3.4611445665359497,0.9971381293402778,0.0026932579930871725,0.0020932117477059364,0.7772043202242844
mnli,lora,1,0.872542027508915,0.12745797249108504,1920003,3815.7689151763916,3.475440740585327,0.9977936921296298,0.002852535806596279,0.0019011960830539465,0.6664933280267931
mnli,lora,2,0.8740703005603668,0.12592969943963317,1920003,3816.0009632110596,3.446078896522522,0.998024269386574,0.0026821012143045664,0.0020388998091220856,0.7601874971190249
mnli,map,0,0.8513499745287825,0.14865002547121753,1920147,32.49441623687744,0.02023160457611084,0.12108018663194445,7.128956349333748e-05,3.495865166769363e-05,0.4903754484478049
mnli,map,1,0.8490066225165563,0.15099337748344366,1920147,31.707372665405273,0.019756555557250977,0.11763961226851853,7.517955236835405e-05,3.2052277674665675e-05,0.4263430236671335
mnli,map,2,0.850636780438105,0.14936321956189502,1920147,31.77688479423523,0.020847320556640625,0.12760868778935186,6.90627857693471e-05,3.285817729192786e-05,0.4757725441552007
qnli,dora,0,0.9311733479773019,0.06882665202269811,2002178,990.4882044792175,0.8784216642379761,0.9878743489583334,0.0008600576547905803,0.0005700392066501081,0.6627918529356148
qnli,dora,1,0.9284276038806517,0.07157239611934829,2002178,942.5882654190063,0.8477753400802612,0.9841715494791666,0.000807884382084012,0.0005205412162467837,0.6443263761381298
qnli,dora,2,0.9242174629324547,0.07578253706754534,2002178,976.3012609481812,0.8669394254684448,0.9855776186342591,0.0008311663405038416,0.0005547390901483595,0.6674224678204417
qnli,lora,0,0.9264140582097748,0.07358594179022515,1919234,937.6939392089844,0.8319395780563354,0.9691885489004629,0.0008698753663338721,0.0005699704634025693,0.655232330356399
qnli,lora,1,0.9264140582097748,0.07358594179022515,1919234,888.7512456178665,0.8013856410980225,0.9666431568287036,0.0008297637104988098,0.000514412357006222,0.6199504153983604
qnli,lora,2,0.9265971078162182,0.07340289218378182,1919234,940.3207504749298,0.8435666561126709,0.9696316189236112,0.0008965802262537181,0.0005403225077316165,0.6026482537868437
qnli,map,0,0.8951125755079626,0.10488742449203736,1919378,10.917563438415527,0.006778836250305176,0.021629050925925923,3.475640914984979e-05,6.328141353151295e-06,0.18207120666199905
qnli,map,1,0.8951125755079626,0.10488742449203736,1919378,11.03680431842804,0.006728768348693848,0.021289966724537042,3.86567808163818e-05,4.574787453748286e-06,0.11834372539913109
qnli,map,2,0.8956617243272927,0.10433827567270726,1919378,12.556145787239075,0.007036328315734863,0.025485568576388888,4.668201654567383e-05,4.303260539018083e-06,0.09218240464843158
rte,dora,0,0.6714801444043321,0.3285198555956679,2002178,18.866047263145447,0.019459128379821777,0.12285246672453705,2.694421709747985e-05,4.487159003474517e-06,0.1665351413715491
rte,dora,1,0.6823104693140795,0.31768953068592054,2002178,19.075469374656677,0.018196702003479004,0.12294288917824073,2.4776252757874317e-05,6.542486971738981e-06,0.26406281190603637
rte,dora,2,0.5740072202166066,0.42599277978339345,2002178,13.012092113494873,0.012892484664916992,0.0627170138888889,1.621411502128467e-05,4.056395027873805e-06,0.2501767763796467
rte,lora,0,0.6606498194945848,0.3393501805054152,1919234,18.92682194709778,0.018972158432006836,0.12317346643518517,2.870448042813223e-05,5.210144990996923e-06,0.18150981704900143
rte,lora,1,0.6931407942238267,0.3068592057761733,1919234,18.962635397911072,0.017812252044677734,0.1227077907986111,2.7085368856205605e-05,7.0984474405122455e-06,0.26207682377144
rte,lora,2,0.5270758122743683,0.4729241877256317,1919234,13.34948182106018,0.011300444602966309,0.04855685763888889,1.9226674339734018e-05,7.779040970490314e-06,0.40459628290546734
rte,map,0,0.5415162454873647,0.45848375451263534,1919378,0.3489190340042114,0.0018358230590820312,0.0,2.679834665286762e-07,3.343961338941881e-07,1.2478237490759723
rte,map,1,0.5703971119133574,0.4296028880866426,1919378,0.3523916006088257,0.0019252300262451172,0.0,2.6931346042147197e-07,3.5101928119729564e-07,1.3033855814260273
rte,map,2,0.5667870036101083,0.43321299638989175,1919378,0.35444676876068115,0.0017404556274414062,0.0,2.680216084627318e-07,3.3840069590951316e-07,1.262587363199738
sst2,dora,0,0.9461009174311926,0.05389908256880738,2002178,523.0388054847717,0.5069667100906372,0.9611725983796298,0.00046199766802601516,0.0002687154628802091,0.5816381368944002
sst2,dora,1,0.944954128440367,0.05504587155963303,2002178,508.4603455066681,0.48198938369750977,0.9646041304976851,0.0004090524453204125,0.0002711841952987015,0.6629570325298552
sst2,dora,2,0.9495412844036697,0.050458715596330306,2002178,528.5133016109467,0.5074703693389893,0.9650200737847222,0.00048464935389347374,0.00025767076294869184,0.5316643071504601
sst2,lora,0,0.944954128440367,0.05504587155963303,1919234,492.4180186986923,0.4778200387954712,0.9309217664930556,0.0004677603719756007,0.0002704242942854762,0.5781257038584322
sst2,lora,1,0.9415137614678899,0.0584862385321101,1919234,494.3254933357239,0.4675811529159546,0.9362838179976853,0.000437077134847641,0.00028163331444375217,0.6443560918416051
sst2,lora,2,0.9461009174311926,0.05389908256880738,1919234,507.44658172130585,0.48210978507995605,0.9370478877314814,0.0004782791656907648,0.0002756685425993055,0.5763758122333541
sst2,map,0,0.9277522935779816,0.07224770642201839,1919378,9.583661556243896,0.004683732986450195,0.0070845992476851844,3.774510696530342e-05,3.3119893032562686e-06,0.08774618936173002
sst2,map,1,0.9311926605504587,0.06880733944954132,1919378,9.492966532707214,0.004487037658691406,0.006759078414351852,3.764947905438021e-05,3.367160616107867e-06,0.08943445435843622
sst2,map,2,0.926605504587156,0.07339449541284404,1919378,9.429512619972229,0.004569888114929199,0.006890190972222222,3.718238804140128e-05,3.28020519191341e-06,0.0882193254575531
