task,method,seed,n,test_error,KL_asym,KL_nonasym,term_asym,term_nonasym,bound_proxy_asym,bound_proxy_nonasym,nonvacuous_asym,nonvacuous_nonasym,overestimate_ratio
mnli,dora,0,392702,0.1226,3911.6,46.457,0.0707,0.0085,0.1932,0.1311,True,True,84.2
mnli,dora,1,392702,0.1268,3858.25,45.656,0.0702,0.0084,0.197,0.1353,True,True,84.51
mnli,dora,2,392702,0.1229,3938.72,46.799,0.0709,0.0085,0.1938,0.1314,True,True,84.16
mnli,lora,0,392702,0.1229,3881.91,46.07,0.0704,0.0085,0.1933,0.1313,True,True,84.26
mnli,lora,1,392702,0.1275,3815.77,45.108,0.0698,0.0084,0.1973,0.1358,True,True,84.59
mnli,lora,2,392702,0.1259,3816.0,45.099,0.0698,0.0084,0.1957,0.1343,True,True,84.61
mnli,map,0,392702,0.1487,32.49,0.373,0.0074,0.0037,0.156,0.1523,True,True,87.02
mnli,map,1,392702,0.151,31.71,0.367,0.0073,0.0037,0.1583,0.1546,True,True,86.38
mnli,map,2,392702,0.1494,31.78,0.366,0.0073,0.0037,0.1567,0.153,True,True,86.83
qnli,dora,0,104743,0.0688,990.49,11.816,0.0691,0.0101,0.1379,0.0789,True,True,83.82
qnli,dora,1,104743,0.0716,942.59,11.236,0.0674,0.0099,0.139,0.0815,True,True,83.89
qnli,dora,2,104743,0.0758,976.3,11.613,0.0686,0.01,0.1444,0.0858,True,True,84.07
qnli,lora,0,104743,0.0736,937.69,11.157,0.0672,0.0099,0.1408,0.0835,True,True,84.05
qnli,lora,1,104743,0.0736,888.75,10.587,0.0655,0.0098,0.1391,0.0834,True,True,83.95
qnli,lora,2,104743,0.0734,940.32,11.19,0.0673,0.0099,0.1407,0.0833,True,True,84.03
qnli,map,0,104743,0.1049,10.92,0.132,0.0099,0.0068,0.1148,0.1117,True,True,82.75
qnli,map,1,104743,0.1049,11.04,0.136,0.0099,0.0068,0.1148,0.1117,True,True,81.04
qnli,map,2,104743,0.1043,12.56,0.156,0.0103,0.0068,0.1146,0.1111,True,True,80.31
rte,dora,0,2490,0.3285,18.87,0.226,0.0729,0.0396,0.4014,0.3682,True,True,83.51
rte,dora,1,2490,0.3177,19.08,0.228,0.0732,0.0396,0.3909,0.3573,True,True,83.59
rte,dora,2,2490,0.426,13.01,0.154,0.0643,0.0395,0.4903,0.4654,True,True,84.4
rte,lora,0,2490,0.3394,18.93,0.228,0.073,0.0396,0.4123,0.379,True,True,83.15
rte,lora,1,2490,0.3069,18.96,0.227,0.073,0.0396,0.3799,0.3465,True,True,83.49
rte,lora,2,2490,0.4729,13.35,0.162,0.0649,0.0395,0.5378,0.5124,True,True,82.65
rte,map,0,2490,0.4585,0.35,0.004,0.0399,0.0391,0.4984,0.4976,True,True,96.51
rte,map,1,2490,0.4296,0.35,0.004,0.04,0.0391,0.4696,0.4687,True,True,95.34
rte,map,2,2490,0.4332,0.35,0.004,0.04,0.0391,0.4732,0.4723,True,True,96.67
sst2,dora,0,67349,0.0539,523.04,6.064,0.0629,0.0107,0.1168,0.0646,True,True,86.25
sst2,dora,1,67349,0.055,508.46,5.874,0.062,0.0106,0.117,0.0656,True,True,86.55
sst2,dora,2,67349,0.0505,528.51,6.158,0.0632,0.0107,0.1136,0.0612,True,True,85.82
sst2,lora,0,67349,0.055,492.42,5.689,0.061,0.0105,0.1161,0.0656,True,True,86.56
sst2,lora,1,67349,0.0585,494.33,5.704,0.0611,0.0105,0.1196,0.069,True,True,86.67
sst2,lora,2,67349,0.0539,507.45,5.895,0.0619,0.0106,0.1158,0.0645,True,True,86.09
sst2,map,0,67349,0.0722,9.58,0.118,0.0118,0.0083,0.0841,0.0806,True,True,81.54
sst2,map,1,67349,0.0688,9.49,0.116,0.0118,0.0083,0.0806,0.0771,True,True,81.69
sst2,map,2,67349,0.0734,9.43,0.116,0.0118,0.0083,0.0852,0.0817,True,True,81.49
